ERV316A3_1p36.33	HERV	ERV316A3	oneside	chr1	40736	42273	-
HML3_1p36.33	HERV	HML3	oneside	chr1	895544	898699	-
MER4B_1p36.33	HERV	MER4B	prototype	chr1	1275713	1280788	-
HARLEQUIN_1p36.33	HERV	HARLEQUIN	prototype	chr1	1412252	1418852	-
HERVIP10F_1p36.33	HERV	HERVIP10F	internal	chr1	1449072	1449730	-
HERVL_1p36.32	HERV	HERVL	internal	chr1	2625292	2626288	+
ERVLE_1p36.32a	HERV	ERVLE	internal	chr1	2637771	2638501	+
ERVLE_1p36.32b	HERV	ERVLE	internal	chr1	2897224	2898434	-
ERVLB4_1p36.32	HERV	ERVLB4	internal	chr1	3002414	3003699	-
HML4_1p36.32	HERV	HML4	prototype	chr1	3801472	3806930	-
ERVLE_1p36.32c	HERV	ERVLE	internal	chr1	3969312	3969956	-
HERVH_1p36.32a	HERV	HERVH	oneside	chr1	4180997	4187514	-
HERVL66_1p36.32	HERV	HERVL66	prototype	chr1	4587568	4591911	-
HERVH_1p36.32b	HERV	HERVH	prototype	chr1	5044796	5053098	+
HERVH_1p36.32c	HERV	HERVH	oneside	chr1	5114487	5118888	+
ERVLE_1p36.31a	HERV	ERVLE	internal	chr1	5580463	5582352	-
ERVLE_1p36.31b	HERV	ERVLE	internal	chr1	5820123	5823005	+
HERVFH21_1p36.31	HERV	HERVFH21	prototype	chr1	6560297	6570283	-
ERV316A3_1p36.23	HERV	ERV316A3	internal	chr1	7320314	7322250	-
HERV9_1p36.23	HERV	HERV9	oneside	chr1	8895877	8899114	+
HML3_1p36.23	HERV	HML3	oneside	chr1	8907810	8908879	-
HERVFH21_1p36.23	HERV	HERVFH21	prototype	chr1	8921052	8927668	+
HERVFH19_1p36.23a	HERV	HERVFH19	oneside	chr1	9086800	9088393	+
HERVFH19_1p36.23b	HERV	HERVFH19	oneside	chr1	9088458	9096029	+
ERVLB4_1p36.22	HERV	ERVLB4	oneside	chr1	9297468	9302644	+
ERVL_1p36.22a	HERV	ERVL	prototype	chr1	9302227	9304444	+
ERVL_1p36.22b	HERV	ERVL	internal	chr1	9496729	9497380	-
HUERSP1_1p36.22	HERV	HUERSP1	internal	chr1	10016592	10017954	-
ERVLE_1p36.22	HERV	ERVLE	internal	chr1	10140592	10141777	-
ERV316A3_1p36.22a	HERV	ERV316A3	oneside	chr1	11378008	11383024	+
ERV316A3_1p36.22b	HERV	ERV316A3	oneside	chr1	11383219	11385505	+
HERVL_1p36.22	HERV	HERVL	oneside	chr1	12388951	12395953	-
ERVLE_1p36.21a	HERV	ERVLE	internal	chr1	12669213	12670382	+
ERVLE_1p36.21b	HERV	ERVLE	internal	chr1	12674390	12677130	-
HERVIP10F_1p36.21	HERV	HERVIP10F	oneside	chr1	12703944	12713280	-
HML2_1p36.21a	HERV	HML2	oneside	chr1	12780115	12785935	-
HML2_1p36.21b	HERV	HML2	prototype	chr1	13012447	13021988	-
HERV3_1p36.21a	HERV	HERV3	oneside	chr1	13084708	13089947	+
HERV3_1p36.21b	HERV	HERV3	oneside	chr1	13136842	13142081	-
HML2_1p36.21c	HERV	HML2	prototype	chr1	13206972	13216513	+
HML2_1p36.21d	HERV	HML2	prototype	chr1	13352736	13362257	+
HERVIP10FH_1p36.21a	HERV	HERVIP10FH	oneside	chr1	13559651	13560780	+
HERVH_1p36.21	HERV	HERVH	prototype	chr1	13560841	13567494	+
HERVIP10FH_1p36.21b	HERV	HERVIP10FH	oneside	chr1	13567557	13573195	+
ERVLE_1p36.13a	HERV	ERVLE	internal	chr1	15982682	15983526	+
